frameId,radarRoi,radarSize,radarState,radarID,
35 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   3.353656 -0.348694 2.838068 0.594954   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   3.332086 4.618548   ,0 0 0 2 ,0 0 0 19 ,
36 ,0.000000 0.000000 0.000000 0.000000   41.348778 14.564982 7.172857 2.524851   26.180553 8.854007 8.437421 2.843871   3.637463 -0.289199 2.838068 0.594954   ,0.000000 0.000000   0.630276 0.807879   3.330118 1.746910   3.332086 4.618548   ,0 2 2 2 ,0 23 22 19 ,
37 ,0.000000 0.000000 0.000000 0.000000   42.063007 14.783634 7.113226 2.490921   27.004177 9.128415 8.337333 2.803660   ,0.000000 0.000000   0.877640 1.215588   2.803093 1.761619   ,0 2 2 ,0 23 22 ,
38 ,9.648043 0.655965 5.887233 0.335656   42.774330 15.032726 7.113226 2.490921   27.811739 9.400307 8.213470 2.761645   ,3.399811 2.186858   0.877640 1.215588   3.140814 1.746194   ,2 2 2 ,25 23 22 ,
39 ,11.489673 0.918114 9.309853 0.962343   28.584787 9.683795 8.016356 2.709036   ,3.309988 2.382834   2.406754 1.367514   ,2 2 ,25 22 ,
40 ,12.340649 1.145786 9.179430 1.276708   29.345871 9.922653 7.814664 2.626939   ,3.028109 2.438410   2.839220 2.054353   ,2 2 ,25 22 ,
41 ,13.205929 1.392674 9.099622 1.551080   30.111441 10.185259 7.749722 2.608945   ,2.530822 3.501150   3.227657 1.854544   ,2 2 ,25 22 ,
42 ,14.129791 1.579401 9.149753 1.622794   30.890709 10.492883 7.811347 2.661808   ,2.900135 3.486763   1.032024 0.773847   ,2 2 ,25 22 ,
43 ,15.045888 1.812710 9.160448 1.757593   31.671844 10.759064 7.811347 2.661808   ,3.609211 2.914446   1.032024 0.773847   ,2 2 ,25 22 ,
44 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   15.961933 1.988469 9.160448 1.757593   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   3.609211 2.914446   ,0 0 0 0 0 0 2 ,0 0 0 0 0 0 25 ,
45 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   ,0 0 0 ,0 0 0 ,
46 ,40.128147 14.784970 5.542958 2.039450   24.824411 7.462544 7.960807 2.390980   6.915539 -0.905209 6.082811 -1.278781   ,1.438335 1.212886   1.320868 2.197779   2.756065 4.731658   ,2 2 2 ,30 27 26 ,
47 ,40.635551 14.968349 5.323589 1.959193   25.604065 7.658442 7.845632 2.331956   8.054687 -0.747740 7.961340 -0.851507   ,0.651672 0.238551   0.931372 3.358678   1.440032 2.894349   ,2 2 2 ,30 27 26 ,
48 ,41.145161 15.110688 5.151731 1.874920   26.307774 7.966107 7.574775 2.310251   8.556013 -0.246917 8.032685 0.027031   ,0.961246 2.251043   0.907492 0.871327   1.642761 1.361869   ,2 2 2 ,30 27 26 ,
49 ,41.660049 15.289345 5.139422 1.866013   27.011030 8.202470 7.349192 2.241621   9.256998 -0.087478 8.133346 0.356078   ,0.705795 1.166628   0.935135 0.736138   1.969884 1.947817   ,2 2 2 ,30 27 26 ,
50 ,42.102238 15.451061 4.812815 1.749516   27.670834 8.464945 7.073757 2.193493   9.856400 0.286456 8.085060 1.105458   ,0.329910 0.120764   0.865211 0.284634   2.524885 1.230837   ,2 2 2 ,30 27 26 ,
51 ,42.583519 15.626013 4.812815 1.749516   28.322710 8.700311 6.861018 2.145109   10.651789 0.658888 8.289217 1.730069   ,0.329910 0.120764   0.618265 0.681814   1.132829 0.618801   ,2 2 2 ,30 27 26 ,
52 ,28.927544 8.913241 6.509371 2.046819   11.597965 1.060604 8.651046 2.281074   ,1.109850 2.440825   1.023133 0.514083   ,2 2 ,27 26 ,
53 ,0.000000 0.000000 0.000000 0.000000   29.531349 9.176037 6.364647 2.055661   12.319630 1.376208 8.376385 2.407004   ,0.000000 0.000000   0.974361 0.752460   0.503922 1.700626   ,0 2 2 ,0 27 26 ,
54 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   30.167814 9.381603 6.364647 2.055661   13.157269 1.616908 8.376385 2.407004   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.974361 0.752460   0.503922 1.700626   ,0 0 0 2 2 ,0 0 0 27 26 ,
55 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   ,0 0 0 ,0 0 0 ,
56 ,37.751102 12.483361 4.064473 1.352435   23.390366 6.600867 6.897076 1.917598   10.125051 0.892760 7.443210 0.484688   ,0.328316 0.899986   1.168564 0.949965   2.811657 1.727866   ,2 2 2 ,35 34 33 ,
57 ,38.119766 12.656456 3.955912 1.334135   24.023996 6.843626 6.702013 1.858861   10.981145 0.846629 7.580591 0.321913   ,0.316113 1.021632   1.007957 0.920993   4.250418 2.436800   ,2 2 2 ,35 34 33 ,
58 ,0.000000 0.000000 0.000000 0.000000   38.424236 12.817913 3.615507 1.239160   24.694197 7.029512 6.702013 1.858861   11.739204 0.878820 7.580591 0.321913   ,0.000000 0.000000   0.183289 0.067093   1.007957 0.920993   4.250418 2.436800   ,0 2 2 2 ,0 35 34 33 ,
59 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   38.739796 12.982297 3.476423 1.218732   ,0.000000 0.000000   0.000000 0.000000   0.445461 1.542009   ,0 0 2 ,0 0 35 ,
60 ,0.000000 0.000000 0.000000 0.000000   17.226444 2.591446 6.108654 0.848630   39.060242 13.116102 3.380225 1.195966   ,0.000000 0.000000   3.386642 2.822896   0.555927 0.828395   ,0 2 2 ,0 36 35 ,
61 ,0.000000 0.000000 0.000000 0.000000   17.773411 2.700034 5.855093 0.853914   39.368690 13.242359 3.267342 1.166376   ,0.000000 0.000000   3.381151 3.211617   0.559078 0.918553   ,0 2 2 ,0 36 35 ,
62 ,18.271280 2.943045 5.569799 0.969520   39.665966 13.390182 3.179040 1.161924   ,3.880962 1.621396   0.341732 0.977242   ,2 2 ,36 35 ,
63 ,0.000000 0.000000 0.000000 0.000000   18.725353 3.054043 5.139124 0.881416   39.963524 13.512381 3.094197 1.140030   ,0.000000 0.000000   3.014927 1.771167   0.268257 0.862439   ,0 2 2 ,0 36 35 ,
64 ,0.000000 0.000000 0.000000 0.000000   19.195072 3.115246 4.925765 0.814181   40.261135 13.657785 3.073403 1.155980   ,0.000000 0.000000   3.206013 1.284579   0.403656 0.805107   ,0 2 2 ,0 36 35 ,
65 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   19.630222 3.221419 4.693954 0.819629   40.564396 13.709947 2.974394 1.080066   ,0.000000 0.000000   0.000000 0.000000   0.679556 1.682533   0.258419 1.235106   ,0 0 2 2 ,0 0 36 35 ,
66 ,0.000000 0.000000 0.000000 0.000000   2.192062 -3.141003 0.575499 -0.830156   20.092682 3.108318 4.551504 0.548594   40.852570 13.844006 2.959218 1.093876   ,0.000000 0.000000   1.500714 4.005769   3.491528 1.091192   0.887005 2.083926   ,0 2 2 2 ,0 39 36 35 ,
67 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.601787 -3.197126 1.147874 -1.217115   20.478975 3.296275 4.307869 0.704526   41.105587 14.001496 2.826660 1.087529   ,0.000000 0.000000   0.000000 0.000000   1.941257 2.126392   0.813845 1.943642   0.597935 1.200798   ,0 0 2 2 2 ,0 0 39 36 35 ,
68 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   3.095590 -3.159569 1.901693 -1.275081   20.883709 3.414701 4.221741 0.753507   41.388252 14.110250 2.826660 1.087529   ,0.000000 0.000000   0.000000 0.000000   2.082474 3.243540   0.821899 2.330946   0.597935 1.200798   ,0 0 2 2 2 ,0 0 39 36 35 ,
69 ,3.861255 -2.762023 3.118823 -0.947163   21.237364 3.630543 3.987743 0.891765   ,5.307808 4.648868   1.258759 6.721760   ,2 2 ,39 36 ,
70 ,0.000000 0.000000 0.000000 0.000000   4.173137 -2.856739 3.118823 -0.947163   21.499886 3.686838 3.358864 0.754318   ,0.000000 0.000000   5.307808 4.648868   0.884867 4.091102   ,0 2 2 ,0 39 36 ,
71 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.826222 -3.689164 -0.780801 -1.958155   21.835772 3.762270 3.358864 0.754318   ,0.000000 0.000000   0.000000 0.000000   0.636313 0.686170   0.884867 4.091102   ,0 0 2 2 ,0 0 39 36 ,
72 ,0.000000 0.000000 0.000000 0.000000   9.938599 0.125169 5.267424 0.428374   2.945238 -3.496330 -0.540149 -1.283883   ,0.000000 0.000000   0.723368 2.084815   0.863382 0.616537   ,0 2 2 ,0 46 39 ,
73 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   26.698864 7.820079 2.922911 0.870541   10.320835 0.271668 5.098469 0.543443   2.854043 -3.743186 -0.516548 -1.563347   ,0.000000 0.000000   0.000000 0.000000   0.230433 0.533078   0.854175 2.036843   1.306681 0.659318   ,0 0 2 2 2 ,0 0 47 46 39 ,
74 ,26.978537 7.861399 2.826278 0.821206   10.658691 0.541213 4.983504 1.097859   2.856654 -4.060614 -0.386496 -2.079081   ,1.488480 3.910664   0.759969 1.042147   2.021597 0.850343   ,2 2 2 ,47 46 39 ,
75 ,0.000000 0.000000 0.000000 0.000000   27.238329 8.018382 2.813982 0.861584   11.084610 0.710331 4.857783 1.230250   2.992387 -4.321535 -0.171913 -2.352871   ,0.000000 0.000000   1.432844 3.223242   0.725804 2.473263   2.214590 1.325216   ,0 2 2 2 ,0 47 46 39 ,
76 ,0.000000 0.000000 0.000000 0.000000   27.498791 8.171183 2.801520 0.903140   11.552095 0.808862 4.757051 1.159992   3.230460 -4.540828 0.118488 -2.447298   ,0.000000 0.000000   0.982243 2.396467   0.795568 3.257926   2.345437 1.610103   ,0 2 2 2 ,0 47 46 39 ,
77 ,0.000000 0.000000 0.000000 0.000000   27.752138 8.350340 2.783170 0.963792   11.922840 1.064893 4.474669 1.439649   3.543557 -4.742882 0.502711 -2.546361   ,0.000000 0.000000   0.525387 0.687391   2.948283 0.884979   2.580061 2.034953   ,0 2 2 2 ,0 47 46 39 ,
78 ,0.000000 0.000000 0.000000 0.000000   27.964764 8.517435 2.583266 0.957147   12.370307 1.208858 4.474669 1.439649   3.593828 -4.997519 0.502711 -2.546361   ,0.000000 0.000000   1.106653 5.133573   2.948283 0.884979   2.580061 2.034953   ,0 2 2 2 ,0 47 46 39 ,
79 ,0.000000 0.000000 0.000000 0.000000   28.182144 8.716353 2.517430 1.021011   12.642857 1.341920 3.923631 1.377386   ,0.000000 0.000000   0.422956 1.340218   0.734097 0.812592   ,0 2 2 ,0 47 46 ,
80 ,0.000000 0.000000 0.000000 0.000000   7.486944 -0.806607 3.417940 -0.243446   28.356199 8.898239 2.281573 1.011593   13.035220 1.479658 3.923631 1.377386   ,0.000000 0.000000   2.818305 1.982988   0.897268 3.097885   0.734097 0.812592   ,0 2 2 2 ,0 53 47 46 ,
81 ,0.000000 0.000000 0.000000 0.000000   7.898046 -0.762110 3.797203 -0.011147   28.580700 8.947816 2.209319 0.945022   ,0.000000 0.000000   2.968855 2.083054   0.735939 2.255332   ,0 2 2 ,0 53 47 ,
82 ,0.000000 0.000000 0.000000 0.000000   19.271801 2.698064 3.761033 0.564335   8.154517 -0.522095 3.855748 0.489440   28.801632 9.042318 2.209319 0.945022   ,0.000000 0.000000   2.447947 2.493255   3.673928 4.620510   0.735939 2.255332   ,0 2 2 2 ,0 54 53 47 ,
83 ,0.000000 0.000000 0.000000 0.000000   19.638536 2.795533 3.741046 0.592544   8.352975 -0.355182 3.554338 0.679854   ,0.000000 0.000000   2.525322 2.803641   3.186128 1.896067   ,0 2 2 ,0 54 53 ,
84 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   19.991142 2.961159 3.701267 0.698871   8.682359 -0.140817 3.613046 1.043970   ,0.000000 0.000000   0.000000 0.000000   0.865345 0.792190   1.283170 1.628130   ,0 0 2 2 ,0 0 54 53 ,
85 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   30.197277 14.116113 2.000033 0.879568   20.316433 3.121023 3.544880 0.779167   8.963001 0.096318 3.448730 1.344087   ,0.000000 0.000000   0.000000 0.000000   1.003187 1.599891   1.105911 1.724067   2.371658 2.395715   ,0 0 2 2 2 ,0 0 56 54 53 ,
86 ,0.000000 0.000000 0.000000 0.000000   2.929853 -2.847549 1.690882 -1.517244   30.397280 14.204069 2.000033 0.879568   20.620556 3.288916 3.361104 0.862938   9.259767 0.392475 3.365256 1.696245   ,0.000000 0.000000   2.558568 1.938284   1.003187 1.599891   0.827892 0.864357   3.003480 3.070258   ,0 2 2 2 2 ,0 57 56 54 53 ,
87 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   3.237231 -2.619851 1.810574 -1.385959   20.956667 3.375210 3.361104 0.862938   9.538446 0.637869 3.255681 1.839434   ,0.000000 0.000000   0.000000 0.000000   2.117549 1.811490   0.827892 0.864357   0.695306 2.546333   ,0 0 2 2 2 ,0 0 57 54 53 ,
88 ,0.000000 0.000000 0.000000 0.000000   33.763550 11.304800 2.030788 0.701202   3.535132 -2.362031 2.088837 -1.191890   9.705213 0.870753 2.882662 1.894883   ,0.000000 0.000000   0.294769 1.336298   2.141002 1.551126   0.699698 0.718330   ,0 2 2 2 ,0 59 57 53 ,
89 ,24.347727 5.088957 2.711893 0.566810   33.947704 11.392824 1.975467 0.690319   3.842944 -2.006898 2.493509 -0.901773   10.117692 1.164861 3.144584 2.112159   ,0.596039 2.834951   0.266987 0.719716   4.911257 4.579280   0.667433 0.558085   ,2 2 2 2 ,60 59 57 53 ,
90 ,24.590277 5.198862 2.627728 0.578728   34.154644 11.465851 2.013533 0.704489   4.075181 -1.810246 2.637052 -0.726546   10.444389 1.349057 3.106314 2.062509   ,0.696405 1.587251   0.190411 1.037988   4.462238 5.182875   0.933745 0.533891   ,2 2 2 2 ,60 59 57 53 ,
91 ,24.868414 5.229996 2.668775 0.570185   34.368145 11.532702 2.056471 0.714992   4.265058 -1.763250 2.547204 -0.673411   10.775267 1.462368 3.135441 1.915964   ,0.290056 2.193305   0.318359 1.134469   2.485567 1.572146   0.500433 0.744453   ,2 2 2 2 ,60 59 57 53 ,
92 ,25.097704 5.423886 2.602141 0.664860   34.552387 11.626113 1.992681 0.711069   4.448366 -1.684910 2.456997 -0.557085   11.087328 1.629634 3.102185 1.873167   ,0.700676 1.731124   0.229359 1.838937   1.729909 1.335123   0.279566 0.344610   ,2 2 2 2 ,60 59 57 53 ,
93 ,25.365599 5.460486 2.607600 0.639854   34.749893 11.697904 1.982122 0.708174   4.695604 -1.391482 2.597488 -0.167950   11.359898 1.813461 2.904841 1.839435   ,0.248377 2.159150   0.316196 0.977243   0.669398 1.554405   0.624247 2.549505   ,2 2 2 2 ,60 59 57 53 ,
94 ,0.000000 0.000000 0.000000 0.000000   25.622288 5.501478 2.565073 0.610699   34.951714 11.759274 1.982236 0.701163   4.879465 -1.173302 2.595510 0.079483   11.650382 1.997405 2.904841 1.839435   ,0.000000 0.000000   0.328821 1.402838   0.548920 0.985375   0.795675 2.101920   0.624247 2.549505   ,0 2 2 2 2 ,0 60 59 57 53 ,
95 ,0.000000 0.000000 0.000000 0.000000   25.878796 5.562548 2.565073 0.610699   35.154423 11.848337 2.019177 0.725338   5.232293 -1.076089 2.813909 0.245299   ,0.000000 0.000000   0.328821 1.402838   0.464706 0.802820   2.569258 2.172776   ,0 2 2 2 ,0 60 59 57 ,
96 ,18.507702 2.459475 2.733975 0.420626   26.103218 5.846643 2.571285 0.825279   35.365074 11.921732 2.051686 0.735148   5.685590 -0.874799 3.187510 0.581369   ,0.736992 1.007359   0.095221 0.768511   0.744209 1.351604   0.966801 0.489580   ,2 2 2 2 ,61 60 59 57 ,
97 ,18.739735 2.459694 2.538059 0.372313   26.349243 5.966536 2.543979 0.853786   35.637608 12.059613 2.399438 0.881798   5.941695 -0.680507 3.109883 0.792157   ,0.812586 0.632663   1.061600 3.272069   0.273449 1.883153   0.665837 1.325643   ,2 2 2 2 ,61 60 59 57 ,
98 ,0.000000 0.000000 0.000000 0.000000   18.928331 2.554995 2.263122 0.421790   26.590591 5.998282 2.434726 0.778758   35.863056 12.222655 2.424845 0.944606   6.262754 -0.520662 3.110764 0.959367   ,0.000000 0.000000   0.818506 0.986209   0.370306 1.092644   0.771492 1.227064   0.898543 4.796778   ,0 2 2 2 2 ,0 61 60 59 57 ,
99 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   19.112284 2.609431 2.093838 0.418463   26.834064 6.076158 2.434726 0.778758   36.181755 12.445512 2.826055 1.158447   6.642707 -0.284003 3.171776 1.275479   ,0.000000 0.000000   0.000000 0.000000   0.778563 0.427227   0.370306 1.092644   0.310947 1.174114   0.815255 4.304939   ,0 0 2 2 2 2 ,0 0 61 60 59 57 ,
100 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   2.596917 -2.455928 0.996835 -0.157342   19.294577 2.757895 2.006919 0.565437   36.464359 12.561357 2.826055 1.158447   6.959885 -0.156455 3.171776 1.275479   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   1.798972 5.026287   0.709942 0.481486   0.310947 1.174114   0.815255 4.304939   ,0 0 0 0 2 2 2 2 ,0 0 0 0 62 61 59 57 ,
101 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   3.032195 -1.997239 2.259874 0.214538   19.516605 2.775929 2.060119 0.515444   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   2.190013 1.158126   0.642017 0.894461   ,0 0 0 0 0 2 2 ,0 0 0 0 0 62 61 ,
102 ,12.964722 0.998875 2.735682 0.551441   41.800880 14.492165 3.869848 1.352781   3.282651 -1.900061 2.399322 0.269691   19.735456 2.895987 2.143204 0.623037   ,3.048381 1.717866   0.571678 1.472368   2.094435 1.738917   0.791439 0.653030   ,2 2 2 2 ,1 0 62 61 ,
103 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   13.212416 1.188363 2.559507 0.833644   42.191628 14.638546 3.899159 1.367417   3.525570 -1.800179 2.460733 0.304904   19.944185 3.000885 2.128851 0.679928   ,0.000000 0.000000   0.000000 0.000000   0.587053 0.652963   0.525982 0.843112   2.703969 1.902311   0.838301 2.089734   ,0 0 2 2 2 2 ,0 0 1 0 62 61 ,
104 ,0.000000 0.000000 0.000000 0.000000   13.386478 1.309679 2.187678 0.858243   42.665447 14.807917 4.279273 1.504155   3.718525 -1.642812 2.404434 0.345224   20.289968 3.244442 2.739878 0.989741   ,0.000000 0.000000   0.722669 0.716522   1.042336 2.067661   2.553645 4.157685   0.694372 0.591225   ,0 2 2 2 2 ,0 1 0 62 61 ,
105 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   32.092342 9.789042 3.598552 1.112330   13.605247 1.395503 2.187678 0.858243   43.097488 14.996235 4.340199 1.544995   3.839363 -1.278392 2.330954 0.518023   20.587326 3.488174 2.918437 1.201088   ,0.000000 0.000000   0.000000 0.000000   0.936724 1.820028   0.722669 0.716522   0.183285 0.067094   8.413589 6.255260   0.882792 1.904886   ,0 0 2 2 2 2 2 ,0 0 6 1 0 62 61 ,
106 ,32.516899 9.961242 3.925976 1.245665   43.563358 15.202669 4.528999 1.637375   3.984975 -0.988966 2.316693 0.670666   20.912720 3.728078 3.126989 1.379816   ,0.319012 0.697353   0.183285 0.067093   8.827168 4.611256   0.968204 0.780709   ,2 2 2 2 ,6 0 62 61 ,
107 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   32.981285 10.189312 4.318526 1.420585   44.016258 15.366406 4.528999 1.637375   4.158989 -0.919962 2.163179 0.633068   21.225418 3.866060 3.126989 1.379816   ,0.000000 0.000000   0.000000 0.000000   1.090977 1.433334   0.183285 0.067093   4.182025 4.721740   0.968204 0.780709   ,0 0 2 2 2 2 ,0 0 6 0 62 61 ,
108 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   33.408745 10.393065 4.365997 1.474519   4.465123 -1.032160 2.214978 0.489276   ,0.000000 0.000000   0.000000 0.000000   0.537621 0.952845   3.607326 2.169962   ,0 0 2 2 ,0 0 6 62 ,
