timestamp,grid_activepower,wind_speed,Theoretical_Power_Curve,Wind Direction (°)
01 01 2018 19:10,2960.18,11.39,3393.65,200.65
01 01 2018 19:20,3062.98,11.57,3437.60,198.12
01 01 2018 19:30,3024.39,11.28,3362.67,198.54
01 01 2018 19:40,3187.97,11.34,3378.83,200.49
01 01 2018 19:50,3387.23,11.80,3488.25,199.25
01 01 2018 20:00,3209.02,11.36,3386.24,199.81
01 01 2018 20:10,3272.67,11.63,3452.88,198.27
01 01 2018 20:20,3209.70,11.44,3407.87,195.63
01 01 2018 20:30,3134.52,11.27,3360.23,196.66
01 01 2018 20:40,2977.82,11.06,3292.88,196.52
01 01 2018 20:50,3431.77,12.10,3537.17,198.26
01 01 2018 21:00,3604.21,12.93,3597.47,201.58
01 01 2018 21:10,3601.33,13.32,3600.00,201.94
01 01 2018 21:20,3604.43,13.12,3600.00,203.51
01 01 2018 21:30,3604.39,13.24,3600.00,202.69
01 01 2018 21:40,3604.34,13.24,3600.00,202.94
01 01 2018 21:50,3554.69,13.03,3600.00,201.25
01 01 2018 22:00,3479.41,12.96,3597.79,201.34
01 01 2018 22:10,3472.33,12.90,3597.13,200.98
01 01 2018 22:20,3491.51,12.77,3593.70,201.00
01 01 2018 22:30,3536.99,12.90,3597.06,200.51
01 01 2018 22:40,3528.66,12.74,3592.81,202.90
01 01 2018 22:50,3581.54,12.32,3562.99,202.84
01 01 2018 23:00,3570.08,12.42,3572.56,202.41
01 01 2018 23:10,3597.60,12.54,3582.20,201.63
01 01 2018 23:20,3441.03,12.68,3589.95,199.32
01 01 2018 23:30,3373.97,13.00,3600.00,197.13
01 01 2018 23:40,3369.81,13.30,3600.00,196.49
01 01 2018 23:50,3375.90,12.84,3595.98,195.32
02 01 2018 00:00,3377.65,12.71,3591.30,196.04
02 01 2018 00:10,3374.42,12.18,3547.63,197.74
02 01 2018 00:20,3401.08,12.21,3550.31,196.81
02 01 2018 00:30,3469.41,12.60,3585.96,193.82
02 01 2018 00:40,3511.81,12.84,3596.00,194.35
02 01 2018 00:50,3536.76,12.50,3578.91,196.01
02 01 2018 01:00,3467.81,12.10,3536.11,197.95
02 01 2018 01:10,3460.68,12.20,3549.21,201.33
02 01 2018 01:20,3589.44,12.55,3582.70,201.19
02 01 2018 01:30,3527.72,12.62,3586.76,202.62
02 01 2018 01:40,3561.27,13.10,3600.00,201.77
02 01 2018 01:50,3604.07,13.69,3600.00,199.02
02 01 2018 02:00,3604.18,14.10,3600.00,196.26
02 01 2018 02:10,3593.20,14.39,3600.00,195.88
02 01 2018 02:20,3493.82,14.08,3600.00,197.64
02 01 2018 02:30,3470.70,14.05,3600.00,197.24
02 01 2018 02:40,3436.61,13.51,3600.00,196.00
02 01 2018 02:50,3401.46,13.71,3600.00,192.42
02 01 2018 03:00,3395.23,13.74,3600.00,191.01
02 01 2018 03:10,3417.50,13.14,3600.00,192.20
02 01 2018 03:20,3465.11,12.87,3596.51,192.77
02 01 2018 03:30,3467.42,12.85,3596.06,192.47
02 01 2018 03:40,3522.41,12.73,3592.42,192.57
02 01 2018 03:50,3510.11,12.52,3580.32,195.00
02 01 2018 04:00,3513.84,12.60,3585.77,196.04
02 01 2018 04:10,3564.01,13.23,3600.00,196.41
02 01 2018 04:20,3475.28,13.09,3600.00,198.52
02 01 2018 04:30,3561.99,12.92,3597.33,198.01
02 01 2018 04:40,3521.55,12.63,3587.76,197.66
02 01 2018 04:50,3493.61,12.83,3595.52,201.10
02 01 2018 05:00,3555.30,12.54,3582.11,200.36
02 01 2018 05:10,3377.13,12.10,3537.34,196.98
02 01 2018 05:20,3479.63,12.36,3567.39,199.80
02 01 2018 05:30,3539.11,12.60,3586.08,201.27
02 01 2018 05:40,3430.44,12.21,3551.16,198.98
02 01 2018 05:50,3301.92,11.99,3520.01,202.57
02 01 2018 06:00,3235.54,11.68,3463.03,200.70
02 01 2018 06:10,3519.02,12.47,3576.80,197.87
02 01 2018 06:20,3469.54,12.49,3578.75,201.10
02 01 2018 06:30,3296.19,11.79,3485.42,200.36
02 01 2018 06:40,3045.51,10.90,3237.31,199.46
02 01 2018 06:50,3444.74,12.19,3548.21,202.75
02 01 2018 07:00,3417.75,11.98,3518.51,199.40
02 01 2018 07:10,2807.61,10.67,3144.98,197.23
02 01 2018 07:20,2493.39,9.70,2588.59,200.32
02 01 2018 07:30,3215.20,11.42,3400.78,200.49
02 01 2018 07:40,3589.59,12.69,3590.57,199.53
02 01 2018 07:50,3599.15,13.06,3600.00,200.61
02 01 2018 08:00,3375.18,11.52,3426.92,195.85
02 01 2018 08:10,3346.98,11.51,3424.85,197.75
02 01 2018 08:20,3567.97,12.42,3572.34,199.16
02 01 2018 08:30,3519.26,12.16,3544.69,198.40
02 01 2018 08:40,3485.19,11.67,3461.27,194.66
02 01 2018 08:50,3145.56,11.15,3321.55,195.83
02 01 2018 09:00,2978.31,10.77,3186.23,193.17
02 01 2018 09:10,3179.01,10.93,3247.07,195.10
02 01 2018 09:20,3461.58,12.14,3542.07,198.29
02 01 2018 09:30,3082.55,11.20,3337.21,200.76
02 01 2018 09:40,3493.66,12.95,3597.68,204.08
02 01 2018 09:50,3601.05,14.88,3600.00,197.59
02 01 2018 10:00,3597.56,15.12,3600.00,196.35
02 01 2018 10:10,3602.17,16.29,3600.00,196.84
02 01 2018 10:20,3601.99,16.12,3600.00,192.23
02 01 2018 10:30,3600.79,15.27,3600.00,190.95
02 01 2018 10:40,3590.75,13.57,3600.00,192.95
02 01 2018 10:50,3601.85,15.37,3600.00,194.75
02 01 2018 11:00,3601.87,15.86,3600.00,195.04
02 01 2018 11:10,3591.66,14.92,3600.00,197.99
02 01 2018 11:20,3579.02,13.61,3600.00,201.49
02 01 2018 11:30,3598.13,14.46,3600.00,200.49
02 01 2018 11:40,3525.33,12.69,3590.53,202.23
02 01 2018 11:50,3560.70,13.56,3600.00,202.15
02 01 2018 12:00,3537.68,13.32,3600.00,203.29
02 01 2018 12:10,3491.29,12.61,3586.26,201.09
02 01 2018 12:20,3530.77,12.31,3562.63,197.54
02 01 2018 12:30,2915.84,10.38,3006.72,200.92
02 01 2018 12:40,2178.66,9.12,2219.69,201.02
02 01 2018 12:50,2244.41,9.25,2308.32,198.98
02 01 2018 13:00,1278.90,9.07,2190.70,198.24
02 01 2018 13:10,2832.93,10.34,2988.42,196.65
02 01 2018 13:20,3205.97,11.10,3307.71,200.15
02 01 2018 13:30,3149.28,11.07,3296.30,198.90
02 01 2018 13:40,3273.66,11.33,3375.74,201.14
02 01 2018 13:50,3114.10,11.02,3277.76,204.93
02 01 2018 14:00,3111.06,10.91,3238.71,204.81
02 01 2018 14:10,3361.01,11.77,3481.45,209.78
02 01 2018 14:20,3421.42,11.87,3501.13,209.60
02 01 2018 14:30,3520.15,12.17,3545.85,208.32
02 01 2018 14:40,3589.43,12.82,3595.39,211.18
02 01 2018 14:50,3495.12,12.57,3584.10,209.46
02 01 2018 15:00,3298.76,11.40,3395.93,205.63
02 01 2018 15:10,2894.44,10.55,3087.17,200.61
02 01 2018 15:20,3486.63,12.31,3562.06,202.06
02 01 2018 15:30,3455.25,12.17,3545.73,203.72
02 01 2018 15:40,3556.79,12.29,3559.70,204.61
02 01 2018 15:50,3375.58,12.01,3523.99,201.74
02 01 2018 16:00,3493.98,12.21,3551.32,201.72
02 01 2018 16:10,3549.15,12.94,3597.57,199.97
02 01 2018 16:20,3483.32,13.67,3600.00,203.87
02 01 2018 16:30,3589.86,13.70,3600.00,204.80
02 01 2018 16:40,3584.24,12.76,3593.42,202.65
02 01 2018 16:50,3599.01,12.77,3593.66,201.26
02 01 2018 17:00,3602.64,13.08,3600.00,203.44
02 01 2018 17:10,3550.56,12.59,3585.45,205.15
02 01 2018 17:20,3552.78,12.51,3580.14,205.01
02 01 2018 17:30,3585.01,12.53,3581.61,204.12
02 01 2018 17:40,3421.18,11.96,3516.31,202.00
02 01 2018 17:50,3406.04,11.95,3513.26,194.38
02 01 2018 18:00,3515.61,12.21,3550.54,189.52
02 01 2018 18:10,3515.97,12.28,3558.40,190.58
02 01 2018 18:20,3475.42,12.72,3592.04,187.61
02 01 2018 18:30,3471.16,12.27,3557.32,189.44
02 01 2018 18:40,3281.75,11.70,3468.16,192.26
02 01 2018 18:50,2955.11,10.96,3259.41,190.46
02 01 2018 19:00,3061.74,11.30,3367.81,192.86
02 01 2018 19:10,2679.11,10.67,3141.29,194.08
02 01 2018 19:20,2721.08,10.83,3210.35,195.20
02 01 2018 19:30,2649.14,10.58,3102.34,195.34
02 01 2018 19:40,2707.74,10.39,3010.96,201.80
02 01 2018 19:50,2508.83,10.08,2841.10,204.21
02 01 2018 20:00,2316.65,9.84,2687.69,199.75
02 01 2018 20:10,3081.54,11.44,3406.64,200.24
02 01 2018 20:20,3397.64,11.94,3512.98,201.17
02 01 2018 20:30,3391.72,11.86,3498.35,201.71
02 01 2018 20:40,3587.51,12.81,3595.14,201.35
02 01 2018 20:50,3603.11,12.91,3597.28,201.68
02 01 2018 21:00,3591.09,12.73,3592.27,202.41
02 01 2018 21:10,3221.04,11.66,3459.66,202.66
02 01 2018 21:20,2887.73,11.10,3305.04,204.06
02 01 2018 21:30,2364.53,10.16,2888.18,203.34
02 01 2018 21:40,1935.85,9.20,2275.21,197.80
02 01 2018 21:50,1549.48,8.54,1852.27,195.51
02 01 2018 22:00,1625.76,8.81,2021.75,187.48
02 01 2018 22:10,1994.22,9.61,2523.61,188.02
02 01 2018 22:20,2362.00,9.84,2691.85,190.66
02 01 2018 22:30,2097.77,9.34,2364.20,196.73
02 01 2018 22:40,1564.59,8.42,1781.90,197.02
02 01 2018 22:50,1107.47,7.66,1339.71,188.69
02 01 2018 23:00,1303.12,8.14,1613.85,181.66
02 01 2018 23:10,1561.18,8.55,1857.14,173.54
02 01 2018 23:20,1545.00,8.38,1755.63,171.38
02 01 2018 23:30,1456.74,7.85,1445.55,179.82
02 01 2018 23:40,1795.64,8.66,1925.37,188.24
02 01 2018 23:50,2773.29,10.92,3244.62,179.04
03 01 2018 00:00,2782.57,10.41,3019.33,176.93
03 01 2018 00:10,2446.42,9.50,2468.76,174.68
03 01 2018 00:20,3412.39,11.93,3510.68,180.67
03 01 2018 00:30,3255.34,11.08,3298.72,183.88
03 01 2018 00:40,2796.88,10.46,3045.47,192.19
03 01 2018 00:50,2467.95,9.79,2655.26,197.10
03 01 2018 01:00,1278.89,7.63,1323.91,202.94
03 01 2018 01:10,1042.54,7.29,1150.91,207.39
03 01 2018 01:20,609.08,6.23,703.72,217.00
03 01 2018 01:30,175.44,4.47,216.02,222.51
03 01 2018 01:40,112.11,4.13,147.10,215.45
03 01 2018 01:50,271.92,5.03,344.11,202.51
03 01 2018 02:00,737.45,6.27,717.84,211.20
03 01 2018 02:10,1375.58,7.76,1397.52,193.61
03 01 2018 02:20,1520.89,8.22,1658.12,172.14
03 01 2018 02:30,1349.11,7.97,1515.65,168.36
03 01 2018 02:40,889.13,6.79,926.04,171.13
03 01 2018 02:50,412.12,5.54,479.45,162.70
03 01 2018 03:00,444.60,5.49,466.62,150.28
03 01 2018 03:10,655.73,6.08,650.19,149.64
03 01 2018 03:20,882.57,6.69,882.73,152.22
03 01 2018 03:30,998.38,6.85,949.01,157.16
03 01 2018 03:40,1193.40,7.76,1395.36,152.70
03 01 2018 03:50,1122.71,7.42,1215.66,152.08
03 01 2018 04:00,1214.13,7.47,1243.60,154.78
03 01 2018 04:10,1086.31,7.08,1052.77,160.22
03 01 2018 04:20,1060.60,7.05,1040.36,165.82
03 01 2018 04:30,1451.71,7.77,1399.15,170.84
03 01 2018 04:40,1361.46,7.83,1436.00,173.02
03 01 2018 04:50,1490.57,7.96,1506.78,173.98
03 01 2018 05:00,1153.14,7.28,1149.01,176.79
03 01 2018 05:10,953.98,7.00,1016.55,178.09
03 01 2018 05:20,799.09,6.76,910.73,174.03
03 01 2018 05:30,616.25,6.18,686.41,168.00
03 01 2018 05:40,646.92,6.30,730.59,168.81
03 01 2018 05:50,1323.68,7.52,1267.13,184.70
03 01 2018 06:00,1568.89,8.09,1584.40,194.01
03 01 2018 06:10,1580.90,7.85,1448.06,197.80
03 01 2018 06:20,1495.18,7.72,1373.68,191.21
03 01 2018 06:30,2063.87,8.85,2046.44,195.06
03 01 2018 06:40,2368.76,9.63,2540.49,198.07
03 01 2018 06:50,2516.42,9.77,2638.97,191.84
03 01 2018 07:00,2108.77,9.19,2263.87,190.01
03 01 2018 07:10,2568.11,9.93,2746.29,179.32
03 01 2018 07:20,3445.22,12.03,3526.95,175.94
03 01 2018 07:30,2994.11,10.87,3225.77,180.76
03 01 2018 07:40,2594.94,10.38,3006.93,177.42
03 01 2018 07:50,2326.83,10.34,2987.59,164.63
03 01 2018 08:00,1941.46,9.28,2328.31,157.37
03 01 2018 08:10,1581.49,8.26,1684.58,151.18
03 01 2018 08:20,1013.29,7.16,1090.18,144.42
03 01 2018 08:30,375.62,5.50,469.62,145.33
03 01 2018 08:40,198.15,4.65,253.47,155.77
03 01 2018 08:50,87.44,3.85,100.64,162.27
03 01 2018 09:00,189.14,4.55,233.46,148.05
03 01 2018 09:10,434.43,5.74,539.51,136.67
03 01 2018 09:20,336.50,5.06,350.37,139.46
03 01 2018 09:30,296.61,4.92,317.17,141.79
03 01 2018 09:40,92.92,3.82,96.25,148.57
03 01 2018 09:50,85.70,3.58,61.58,165.90
03 01 2018 10:00,309.51,4.72,269.21,187.61
03 01 2018 10:10,381.17,5.08,356.11,188.44
03 01 2018 10:20,417.27,5.34,425.02,202.24
03 01 2018 10:30,446.34,5.45,455.50,201.03
03 01 2018 10:40,206.60,4.30,180.22,191.49
03 01 2018 10:50,251.38,4.74,273.75,183.43
03 01 2018 11:00,275.01,4.78,283.86,187.94
03 01 2018 11:10,314.27,4.89,310.41,180.85
03 01 2018 11:20,238.78,4.49,219.36,185.86
03 01 2018 11:30,409.03,5.31,417.26,180.82
03 01 2018 11:40,506.47,5.71,531.92,186.18
03 01 2018 11:50,427.96,5.37,433.72,196.37
03 01 2018 12:00,952.27,6.90,969.63,193.94
03 01 2018 12:10,1019.91,7.24,1128.24,187.72
03 01 2018 12:20,1015.36,6.71,890.61,185.27
03 01 2018 12:30,979.72,6.85,950.72,183.80
03 01 2018 12:40,379.41,5.08,355.47,185.14
03 01 2018 12:50,841.60,6.52,814.34,189.26
03 01 2018 13:00,672.62,6.17,683.27,189.28
03 01 2018 13:10,452.08,5.45,454.52,190.64
03 01 2018 13:20,559.00,5.85,575.91,196.93
03 01 2018 13:30,331.72,5.09,359.45,193.47
03 01 2018 13:40,212.10,4.60,243.17,197.93
03 01 2018 13:50,79.72,3.63,67.87,199.72
03 01 2018 14:00,183.01,4.47,216.23,205.37
03 01 2018 14:10,279.20,4.92,316.26,204.33
03 01 2018 14:20,460.22,5.63,505.94,209.38
03 01 2018 14:30,647.71,6.32,736.17,211.65
03 01 2018 14:40,685.08,6.24,706.96,212.05
03 01 2018 14:50,709.83,6.45,786.33,211.61
03 01 2018 15:00,493.36,5.78,554.13,212.35
03 01 2018 15:10,366.08,5.35,425.80,216.83
03 01 2018 15:20,183.04,4.38,196.89,220.04
03 01 2018 15:30,7.35,3.01,16.37,238.69
03 01 2018 15:40,0.00,3.74,83.99,245.07
03 01 2018 15:50,12.34,3.25,28.73,238.08
03 01 2018 16:00,-0.39,2.19,0.00,238.41
03 01 2018 16:10,0.00,2.14,0.00,234.76
03 01 2018 16:20,0.00,2.50,0.00,223.31
03 01 2018 16:30,0.00,2.67,0.00,226.05
03 01 2018 16:40,0.00,3.03,17.18,221.09
03 01 2018 16:50,0.00,3.20,25.43,232.68
03 01 2018 17:00,0.00,3.91,110.98,241.97
03 01 2018 17:10,65.99,3.80,93.01,221.53
03 01 2018 17:20,157.85,4.44,208.81,225.16
03 01 2018 17:30,50.42,3.68,74.46,220.47
03 01 2018 17:40,88.19,4.12,144.72,222.53
03 01 2018 17:50,242.31,4.99,332.90,220.77
03 01 2018 18:00,262.80,4.87,304.95,222.95
03 01 2018 18:10,584.67,5.92,598.76,212.73
03 01 2018 18:20,298.59,5.03,343.55,216.05
03 01 2018 18:30,279.77,5.00,335.47,206.88
03 01 2018 18:40,823.48,6.43,780.56,208.84
03 01 2018 18:50,883.27,7.00,1014.48,212.21
03 01 2018 19:00,1155.17,7.63,1323.35,205.58
03 01 2018 19:10,1400.39,8.10,1589.54,198.48
03 01 2018 19:20,1205.10,7.52,1267.57,207.78
03 01 2018 19:30,1292.05,7.69,1356.85,199.15
03 01 2018 19:40,1856.18,8.46,1802.78,192.98
03 01 2018 19:50,1928.18,9.08,2193.94,194.69
03 01 2018 20:00,1604.43,8.44,1790.77,196.01
03 01 2018 20:10,1600.00,7.99,1522.81,203.35
03 01 2018 20:20,1456.09,7.94,1495.82,209.99
03 01 2018 20:30,1386.62,7.72,1373.89,213.61
03 01 2018 20:40,1460.36,7.77,1403.44,214.11
03 01 2018 20:50,1894.80,8.58,1878.96,210.48
03 01 2018 21:00,1760.42,8.34,1729.80,212.04
03 01 2018 21:10,2010.98,9.08,2198.00,214.59
03 01 2018 21:20,1828.82,8.68,1937.13,211.37
03 01 2018 21:30,1960.69,9.15,2241.61,208.82
03 01 2018 21:40,1900.45,9.19,2268.20,204.36
03 01 2018 21:50,1549.96,8.26,1682.39,201.89
03 01 2018 22:00,1692.69,8.49,1821.64,194.91
03 01 2018 22:10,1931.08,8.79,2008.64,194.10
03 01 2018 22:20,2060.15,8.96,2115.99,193.35
03 01 2018 22:30,2069.63,9.10,2205.81,195.30
03 01 2018 22:40,2037.27,8.73,1969.01,199.58
03 01 2018 22:50,1594.85,8.11,1594.83,197.52
03 01 2018 23:00,994.58,6.86,952.75,200.44
03 01 2018 23:10,1137.29,7.28,1147.12,200.89
03 01 2018 23:20,1267.86,7.53,1275.66,199.80
03 01 2018 23:30,1002.46,6.95,991.79,196.68
03 01 2018 23:40,1172.35,7.09,1054.96,199.67
03 01 2018 23:50,1252.14,7.41,1210.23,197.45
04 01 2018 00:00,1121.17,6.93,986.60,196.40
04 01 2018 00:10,1183.02,7.15,1085.58,194.03
04 01 2018 00:20,932.31,6.57,834.33,191.29
04 01 2018 00:30,989.51,6.76,911.39,190.10
04 01 2018 00:40,750.55,6.41,773.07,185.52
04 01 2018 00:50,825.77,6.52,815.20,187.61
04 01 2018 01:00,1116.49,7.06,1044.58,192.74
04 01 2018 01:10,986.76,6.69,883.56,196.07
04 01 2018 01:20,1018.15,6.81,932.36,194.84
04 01 2018 01:30,659.18,6.10,656.96,192.47
04 01 2018 01:40,729.49,6.14,673.19,190.76
04 01 2018 01:50,864.50,6.43,779.02,194.58
04 01 2018 02:00,1342.24,7.54,1277.73,197.98
04 01 2018 02:10,1279.10,7.36,1188.28,197.25
04 01 2018 02:20,1351.39,7.46,1237.65,201.22
04 01 2018 02:30,1039.73,7.03,1030.35,199.34
04 01 2018 02:40,876.02,6.87,960.61,194.15
04 01 2018 02:50,754.01,6.35,746.73,196.08
04 01 2018 03:00,1122.33,7.19,1101.65,198.14
04 01 2018 03:10,907.80,6.64,859.99,199.43
04 01 2018 03:20,1009.74,6.93,983.58,194.14
04 01 2018 03:30,1806.99,8.33,1726.42,193.21
04 01 2018 03:40,2374.84,9.53,2465.78,191.94
04 01 2018 03:50,1779.21,8.43,1782.58,189.83
04 01 2018 04:00,1334.98,7.49,1254.91,192.14
04 01 2018 04:10,1562.95,8.01,1535.68,192.10
04 01 2018 04:20,1562.12,7.94,1498.39,194.24
04 01 2018 04:30,1464.98,7.73,1378.33,200.23
04 01 2018 04:40,1312.36,7.46,1238.48,205.03
04 01 2018 04:50,767.04,6.42,775.12,200.67
04 01 2018 05:00,283.26,4.75,276.52,201.92
04 01 2018 05:10,687.11,6.26,716.81,208.18
04 01 2018 05:20,465.75,5.50,469.25,200.79
04 01 2018 05:30,355.62,5.27,405.76,208.01
04 01 2018 05:40,467.83,5.70,529.00,217.75
04 01 2018 05:50,865.35,6.58,837.33,212.30
04 01 2018 06:00,1512.97,7.68,1351.56,208.92
04 01 2018 06:10,1491.70,7.90,1470.90,217.24
04 01 2018 06:20,2004.44,8.96,2121.36,221.35
04 01 2018 06:30,1581.48,8.08,1577.96,219.80
04 01 2018 06:40,1431.62,7.80,1417.52,214.55
04 01 2018 06:50,1523.79,7.98,1517.60,216.91
04 01 2018 07:00,1693.27,8.16,1620.26,215.37
04 01 2018 07:10,1775.04,8.25,1675.44,211.00
04 01 2018 07:20,1875.41,8.50,1825.43,210.13
04 01 2018 07:30,1558.06,7.96,1508.21,208.83
04 01 2018 07:40,1811.09,8.35,1737.57,204.26
04 01 2018 07:50,1686.13,8.14,1608.37,198.53
04 01 2018 08:00,2362.26,9.60,2516.48,198.77
04 01 2018 08:10,2000.86,8.98,2132.43,197.40
04 01 2018 08:20,1169.96,7.28,1149.46,189.58
04 01 2018 08:30,1309.22,7.52,1269.04,182.86
04 01 2018 08:40,759.01,6.22,699.07,186.82
04 01 2018 08:50,498.19,5.50,469.29,195.80
04 01 2018 09:00,332.48,5.11,362.63,195.18
04 01 2018 09:10,253.58,4.65,254.40,191.63
04 01 2018 09:20,180.41,4.37,195.87,206.24
04 01 2018 09:30,258.37,4.83,296.05,196.22
04 01 2018 09:40,133.01,4.91,313.59,187.01
